"Year" "Geo" "Age" "Sex" "Pop"
2015 3157 "65" 2 3563
2015 3157 "70" 1 3054
2015 3157 "70" 2 3280
2015 3157 "75" 1 3053
2015 3157 "75" 2 3785
2015 3157 "80" 1 1699
2015 3157 "80" 2 2474
2015 3157 "85" 1 810
2015 3157 "85" 2 1657
2015 3157 "90" 1 258
2015 3157 "90" 2 944
2015 3158 "60" 1 3901
2015 3158 "60" 2 3981
2015 3158 "65" 1 3463
2015 3158 "65" 2 3562
2015 3158 "70" 1 3101
2015 3158 "70" 2 3420
2015 3158 "75" 1 3193
2015 3158 "75" 2 3750
2015 3158 "80" 1 1581
2015 3158 "80" 2 2302
2015 3158 "85" 1 799
2015 3158 "85" 2 1531
2015 3158 "90" 1 280
2015 3158 "90" 2 896
2015 3159 "60" 1 10373
2015 3159 "60" 2 10656
2015 3159 "65" 1 8942
2015 3159 "65" 2 9241
2015 3159 "70" 1 7701
2015 3159 "70" 2 8356
2015 3159 "75" 1 7824
2015 3159 "75" 2 9541
2015 3159 "80" 1 4250
2015 3159 "80" 2 6145
2015 3159 "85" 1 2256
2015 3159 "85" 2 4295
2015 3159 "90" 1 840
2015 3159 "90" 2 2724
2015 3241 "60" 1 32085
2015 3241 "60" 2 34690
2015 3241 "65" 1 27699
2015 3241 "65" 2 30592
2015 3241 "70" 1 25468
2015 3241 "70" 2 30113
2015 3241 "75" 1 26333
2015 3241 "75" 2 33370
2015 3241 "80" 1 13862
2015 3241 "80" 2 20635
2015 3241 "85" 1 7056
2015 3241 "85" 2 13556
2015 3241 "90" 1 2451
2015 3241 "90" 2 8368
2015 3251 "60" 1 6872
2015 3251 "60" 2 6815
2015 3251 "65" 1 6001
2015 3251 "65" 2 6195
2015 3251 "70" 1 4924
2015 3251 "70" 2 5343
2015 3251 "75" 1 5410
2015 3251 "75" 2 6376
2015 3251 "80" 1 2786
2015 3251 "80" 2 3964
2015 3251 "85" 1 1341
2015 3251 "85" 2 2527
2015 3251 "90" 1 449
2015 3251 "90" 2 1391
2015 3252 "60" 1 5014
2015 3252 "60" 2 5182
2015 3252 "65" 1 4175
2015 3252 "65" 2 4542
2015 3252 "70" 1 3760
2015 3252 "70" 2 4371
2015 3252 "75" 1 4069
2015 3252 "75" 2 5177
2015 3252 "80" 1 2256
2015 3252 "80" 2 3354
2015 3252 "85" 1 1152
2015 3252 "85" 2 2366
2015 3252 "90" 1 433
2015 3252 "90" 2 1455
2015 3254 "60" 1 8632
2015 3254 "60" 2 9041
2015 3254 "65" 1 7526
2015 3254 "65" 2 8129
2015 3254 "70" 1 6559
2015 3254 "70" 2 7539
2015 3254 "75" 1 6954
2015 3254 "75" 2 8753
2015 3254 "80" 1 3782
2015 3254 "80" 2 5632
2015 3254 "85" 1 1954
2015 3254 "85" 2 3820
2015 3254 "90" 1 641
2015 3254 "90" 2 2240
2015 3255 "60" 1 2534
2015 3255 "60" 2 2596
2015 3255 "65" 1 2182
2015 3255 "65" 2 2243
2015 3255 "70" 1 1888
2015 3255 "70" 2 2010
2015 3255 "75" 1 2073
2015 3255 "75" 2 2493
2015 3255 "80" 1 1099
2015 3255 "80" 2 1669
2015 3255 "85" 1 604
2015 3255 "85" 2 1091
2015 3255 "90" 1 220
2015 3255 "90" 2 660
2015 3256 "60" 1 4020
2015 3256 "60" 2 4022
2015 3256 "65" 1 3347
2015 3256 "65" 2 3329
2015 3256 "70" 1 2568
2015 3256 "70" 2 2811
2015 3256 "75" 1 2866
2015 3256 "75" 2 3608
2015 3256 "80" 1 1581
2015 3256 "80" 2 2351
2015 3256 "85" 1 788
2015 3256 "85" 2 1615
2015 3256 "90" 1 270
2015 3256 "90" 2 923
2015 3257 "60" 1 5058
2015 3257 "60" 2 5340
2015 3257 "65" 1 4499
2015 3257 "65" 2 4684
2015 3257 "70" 1 3983
2015 3257 "70" 2 4384
2015 3257 "75" 1 4183
2015 3257 "75" 2 5211
2015 3257 "80" 1 2166
2015 3257 "80" 2 3334
2015 3257 "85" 1 1213
2015 3257 "85" 2 2303
2015 3257 "90" 1 412
2015 3257 "90" 2 1417
2015 3351 "60" 1 5811
2015 3351 "60" 2 6176
2015 3351 "65" 1 4967
2015 3351 "65" 2 5224
2015 3351 "70" 1 4568
2015 3351 "70" 2 4918
2015 3351 "75" 1 4393
2015 3351 "75" 2 5300
2015 3351 "80" 1 2316
2015 3351 "80" 2 3403
2015 3351 "85" 1 1200
2015 3351 "85" 2 2346
2015 3351 "90" 1 381
2015 3351 "90" 2 1432
2015 3352 "60" 1 6872
2015 3352 "60" 2 7107
2015 3352 "65" 1 6500
2015 3352 "65" 2 6623
2015 3352 "70" 1 5383
2015 3352 "70" 2 5654
2015 3352 "75" 1 5320
2015 3352 "75" 2 6132
2015 3352 "80" 1 2726
2015 3352 "80" 2 3980
2015 3352 "85" 1 1276
2015 3352 "85" 2 2632
2015 3352 "90" 1 464
2015 3352 "90" 2 1557
2015 3353 "60" 1 7133
2015 3353 "60" 2 7665
2015 3353 "65" 1 6745
2015 3353 "65" 2 7479
2015 3353 "70" 1 6371
2015 3353 "70" 2 7037
2015 3353 "75" 1 6269
2015 3353 "75" 2 7325
2015 3353 "80" 1 3124
2015 3353 "80" 2 4210
2015 3353 "85" 1 1456
2015 3353 "85" 2 2555
2015 3353 "90" 1 463
2015 3353 "90" 2 1355
2015 3354 "60" 1 1759
2015 3354 "60" 2 1864
2015 3354 "65" 1 1643
2015 3354 "65" 2 1636
2015 3354 "70" 1 1498
2015 3354 "70" 2 1573
