"Date"	"Gender"	"geogcode"	"Age"	"value type"	"value"	"flag"
"2011"	"Male"	"E08000005"	"Age 89"	"number"	106	""
"2011"	"Male"	"E08000005"	"Aged 90+"	"number"	318	""
"2011"	"Male"	"E08000006"	"Aged 60-64"	"number"	6219	""
"2011"	"Male"	"E08000006"	"Aged 65-69"	"number"	4714	""
"2011"	"Male"	"E08000006"	"Aged 70-74"	"number"	3772	""
"2011"	"Male"	"E08000006"	"Aged 75-79"	"number"	2829	""
"2011"	"Male"	"E08000006"	"Aged 80-84"	"number"	1902	""
"2011"	"Male"	"E08000006"	"Age 85"	"number"	248	""
"2011"	"Male"	"E08000006"	"Age 86"	"number"	246	""
"2011"	"Male"	"E08000006"	"Age 87"	"number"	229	""
"2011"	"Male"	"E08000006"	"Age 88"	"number"	145	""
"2011"	"Male"	"E08000006"	"Age 89"	"number"	152	""
"2011"	"Male"	"E08000006"	"Aged 90+"	"number"	359	""
"2011"	"Male"	"E08000007"	"Aged 60-64"	"number"	9023	""
"2011"	"Male"	"E08000007"	"Aged 65-69"	"number"	6970	""
"2011"	"Male"	"E08000007"	"Aged 70-74"	"number"	5678	""
"2011"	"Male"	"E08000007"	"Aged 75-79"	"number"	4589	""
"2011"	"Male"	"E08000007"	"Aged 80-84"	"number"	3146	""
"2011"	"Male"	"E08000007"	"Age 85"	"number"	453	""
"2011"	"Male"	"E08000007"	"Age 86"	"number"	321	""
"2011"	"Male"	"E08000007"	"Age 87"	"number"	322	""
"2011"	"Male"	"E08000007"	"Age 88"	"number"	274	""
"2011"	"Male"	"E08000007"	"Age 89"	"number"	238	""
"2011"	"Male"	"E08000007"	"Aged 90+"	"number"	606	""
"2011"	"Male"	"E08000008"	"Aged 60-64"	"number"	6893	""
"2011"	"Male"	"E08000008"	"Aged 65-69"	"number"	5310	""
"2011"	"Male"	"E08000008"	"Aged 70-74"	"number"	3972	""
"2011"	"Male"	"E08000008"	"Aged 75-79"	"number"	2942	""
"2011"	"Male"	"E08000008"	"Aged 80-84"	"number"	1797	""
"2011"	"Male"	"E08000008"	"Age 85"	"number"	265	""
